Model,Node Memory Capacity (MB),# of Nodes,# of Bandwidth Classes,Bottleneck Latency (s)
MobileNetV2,64,50,5,0.03285499546
MobileNetV2,64,50,8,0.03336827441
MobileNetV2,64,50,11,0.03341137224
MobileNetV2,64,50,14,0.0327509057
MobileNetV2,64,50,17,0.03305282729
MobileNetV2,64,50,20,0.03255456973
EfficientNetB1,64,5,2,0.4914029416
EfficientNetB1,64,5,5,0.474450327
EfficientNetB1,64,5,8,0.4652697188
EfficientNetB1,64,5,11,0.4762272699
EfficientNetB1,64,5,14,0.4986161318
EfficientNetB1,64,5,17,0.4047536725
EfficientNetB1,64,5,20,0.4298778479
EfficientNetB1,128,5,2,0.08429470512
EfficientNetB1,128,5,5,0.08602512068
EfficientNetB1,128,5,8,0.08111899307
EfficientNetB1,128,5,11,0.08568424803
EfficientNetB1,128,5,14,0.08389849308
EfficientNetB1,128,5,17,0.08089556164
EfficientNetB1,128,5,20,0.08515605147
EfficientNetB1,64,10,2,0.3677057882
EfficientNetB1,64,10,5,0.3880760174
EfficientNetB1,64,10,8,0.3898092362
EfficientNetB1,64,10,11,0.3762939742
EfficientNetB1,64,10,14,0.3817508129
EfficientNetB1,64,10,17,0.3290924756
EfficientNetB1,64,10,20,0.3240097194
EfficientNetB1,128,10,2,0.06489524207
EfficientNetB1,128,10,5,0.06634814731
EfficientNetB1,128,10,8,0.06561473479
EfficientNetB1,128,10,11,0.0666356766
EfficientNetB1,128,10,14,0.06839578289
EfficientNetB1,128,10,17,0.06649798378
EfficientNetB1,128,10,20,0.06684539019
EfficientNetB1,64,15,2,0.3473523915
EfficientNetB1,64,15,5,0.3520286232
EfficientNetB1,64,15,8,0.3363190708
EfficientNetB1,64,15,11,0.3377521218
EfficientNetB1,64,15,14,0.332052072
EfficientNetB1,64,15,17,0.2811875889
EfficientNetB1,64,15,20,0.2867971271
EfficientNetB1,128,15,2,0.06106062644
EfficientNetB1,128,15,5,0.06207007785
EfficientNetB1,128,15,8,0.06148939392
EfficientNetB1,128,15,11,0.06141497272
EfficientNetB1,128,15,14,0.0605605806
EfficientNetB1,128,15,17,0.06095199498
EfficientNetB1,128,15,20,0.05842706608
EfficientNetB1,64,20,2,0.3228643111
EfficientNetB1,64,20,5,0.3289357673
EfficientNetB1,64,20,8,0.3222388958
EfficientNetB1,64,20,11,0.324419721
EfficientNetB1,64,20,14,0.3230607654
EfficientNetB1,64,20,17,0.2747805571
EfficientNetB1,64,20,20,0.267650052
EfficientNetB1,128,20,2,0.05673264787
EfficientNetB1,128,20,5,0.05562557181
EfficientNetB1,128,20,8,0.05663521398
EfficientNetB1,128,20,11,0.05729896172
EfficientNetB1,128,20,14,0.05651956851
EfficientNetB1,128,20,17,0.05812962612
